data,site,uf,cidade,departamento,categoria,subcategoria,marca,descricao,ean,sku,preco_regular,preco_promocional,preco_pix,disponivel,link
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Smart,,"Smart Tv Samsung 50"" Miniled 4K M75h com Vision Ai Companion e Gaming Hub",,,2999.90,,,sim,https://www.havan.com.br/smart-tv-samsung-50-miniled-4k-m75h-com-vision-ai-companion-e-gaming-hub-diversos/p
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Smart,,"Smart Tv Samsung 55"" Miniled 4K M75h com Vision Ai Companion e Gaming Hub",,,3399.90,,,sim,https://www.havan.com.br/smart-tv-samsung-55-miniled-4k-m75h-com-vision-ai-companion-e-gaming-hub-diversos/p
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Smart,,"Smart Tv Samsung 65"" Miniled 4K M75h com Vision Ai Companion e Gaming Hub",,,4499.90,,,sim,https://www.havan.com.br/smart-tv-samsung-65-miniled-4k-m75h-com-vision-ai-companion-e-gaming-hub-diversos/p
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Smart,,"Smart Tv Samsung 75"" Miniled 4K M75h com Vision Ai Companion e Gaming Hub",,,6199.90,,,sim,https://www.havan.com.br/smart-tv-samsung-75-miniled-4k-m75h-com-vision-ai-companion-e-gaming-hub-diversos/p
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Fone,,Fone de Ouvido Philco Extreme Bluetooth 5.4 Preto Pfo09p,,,199.90,,,sim,https://www.havan.com.br/fone-de-ouvido-philco-extreme-bluetooth-54-preto-pfo09p-diversos/p
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Roteador,,Roteador Wi-Fi W5-1200Gs Intelbras Preto 4 Antenas Inmesh,,,249.90,,,sim,https://www.havan.com.br/roteador-wi-fi-w5-1200gs-intelbras-preto-4-antenas-inmesh-diversos/p
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Mochila,,Mochila Executiva Milan Preta Travel Blue,,,129.90,,,sim,https://www.havan.com.br/mochila-executiva-milan-preta-travel-blue-diversos/p
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Mochila,,Mochila Executiva Copenhagen Preta Travel Blue - 3190,,,129.90,,,sim,https://www.havan.com.br/mochila-executiva-copenhagen-preta-travel-blue-3190/p
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Smart,,"Smart Tv 65"" Lg Qned Mini Led Ai 4K Qned70 2026",,,4799.90,,,sim,https://www.havan.com.br/smart-tv-lg-qned-mini-led-ai-4k-qned70-65-polegadas-2026-diversos/p
2026-08-25,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Eletroeletrônicos,Eletrônicos (geral),Smart,,"Smart Tv Lg 50"" Qned Mini Led Ai 4K Qned70 2026",,,2899.90,,,sim,https://www.havan.com.br/smart-tv-lg-qned-mini-led-ai-4k-qned70-50-polegadas-2026-diversos/p
