data,site,uf,cidade,departamento,categoria,subcategoria,marca,descricao,ean,sku,preco_regular,preco_promocional,preco_pix,disponivel,link
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Solteiro 150 Fios Havan Kids 3 pçs - Galaxy Girl Rosa,,773999,69.99,,,sim,https://www.havan.com.br/jogo-de-cama-solteiro-kids-3-pecas-150-fios-solecasa-galaxy-girl-rosa/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Solteiro 150 Fios Havan Kids 3 pçs - Bailarinas,,773998,69.99,,,sim,https://www.havan.com.br/jogo-de-cama-solteiro-kids-3-pecas-150-fios-solecasa-bailarinas/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Queen Percal Buona Fortuna 3 pçs - Sophie Prata,,773970,219.99,,,sim,https://www.havan.com.br/jogo-de-cama-queen-percal-100-algodao-buona-fortuna-3-pcs-sophie-prata/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Casal Percal Buona Fortuna 3 pçs - Sophie Prata,,773969,179.99,,,sim,https://www.havan.com.br/jogo-de-cama-casal-100-algodao-3-pcs-buona-fortuna-sophie-prata/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Solteiro Percal Buona Fortuna 2 pçs - Sophie Prata,,773968,129.99,,,sim,https://www.havan.com.br/jogo-de-cama-solteiro-percal-100-algodao-buona-fortuna-2-pcs-sophie-prata/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Solteiro Micropercal Havan Casa 3 pçs - Organic Flores Azul,,773966,59.99,,,sim,https://www.havan.com.br/jogo-de-cama-solteiro-micropercal-180-fios-havan-casa-3-pcs-organic-flores-azul/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama King Elegance Havan Casa 4 pçs - Organic Flores Azul,,773963,99.99,,,sim,https://www.havan.com.br/jogo-de-cama-king-micropercal-havan-casa-4-pcs-organic-flores-azul/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Queen Elegance Havan Casa 4 pçs - Saint Garden Verde,,773962,79.99,,,sim,https://www.havan.com.br/jogo-de-cama-queen-micropercal-180-fios-havan-casa-4-pcs-saint-garden-verde/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Queen Elegance Havan Casa 4 pçs - Lausane Listra Azul,,773961,79.99,,,sim,https://www.havan.com.br/jogo-de-cama-queen-micropercal-180-fios-havan-casa-4-pcs-lausane-listra-azul/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Queen Elegance Havan Casa 4 pçs - Laços Listra Azul,,773960,79.99,,,sim,https://www.havan.com.br/jogo-de-cama-queen-micropercal-180-fios-havan-casa-4-pcs-laos-listra-azul/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Queen Elegance Havan Casa 4 pçs - Toni Listra Azul,,773959,79.99,,,sim,https://www.havan.com.br/jogo-de-cama-queen-micropercal-180-fios-havan-casa-4-pcs-toni-listra-azul/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Queen Elegance Havan Casa 4 pçs - Organic Flores Azul,,773958,79.99,,,sim,https://www.havan.com.br/jogo-de-cama-queen-micropercal-180-fios-havan-casa-4-pcs-organic-flores-azul/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Casal Elegance Havan Casa 4 pçs - Valência Xadrez Verde,,773957,59.99,,,sim,https://www.havan.com.br/jogo-de-cama-casal-micropercal-180-fios-havan-casa-4-pcs-valncia-xadrez-verde/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Casal Elegance Havan Casa 4 pçs - Saint Garden Verde,,773956,59.99,,,sim,https://www.havan.com.br/jogo-de-cama-casal-micropercal-180-fios-havan-casa-4-pcs-saint-garden-verde/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Casal Elegance Havan Casa 4 pçs - Lausane Listra Azul,,773955,59.99,,,sim,https://www.havan.com.br/jogo-de-cama-casal-micropercal-180-fios-havan-casa-4-pcs-lausane-listra-azul/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Casal Elegance Havan Casa 4 pçs - Laços Listra Azul,,773954,59.99,,,sim,https://www.havan.com.br/jogo-de-cama-casal-micropercal-180-fios-havan-casa-4-pcs-laos-listra-azul/p
2026-09-21,havan,"Nacional (rede em quase todos os estados, sede SC) — não confirmado por CEP",,Casa e Decoração,"Cama, Mesa e Banho",Jogo,,Jogo de Cama Casal Elegance Havan Casa 4 pçs - Antique Boeme Rosa,,773953,59.99,,,sim,https://www.havan.com.br/jogo-de-cama-casal-micropercal-180-fios-havan-casa-4-pcs-antique-boeme-rosa/p
